row	call	date.time	date	site	year	detection	time	temp.med	rain.med	cloud.med	vel.wind.med	humid.rel.med	dir.wind.deg
4	ter	10/02/2016 08:00	10/02/2016	S1	y2016	83	08:00:00	17.9	0	1	4	47	0
8	ter	11/02/2016 08:00	11/02/2016	S1	y2016	215	08:00:00	17.8	0	2	1	71	0
11	ter	10/02/2016 06:00	10/02/2016	S2	y2016	24	06:00:00	17.9	0	1	4	47	0
15	ter	11/02/2016 07:00	11/02/2016	S2	y2016	46	07:00:00	17.8	0	2	1	71	0
18	ter	12/02/2016 08:00	12/02/2016	S2	y2016	28	08:00:00	17.7	0	1	4	78	90
21	ter	13/02/2016 08:00	13/02/2016	S2	y2016	35	08:00:00	19.2	0	0	6	61	180
25	ter	14/02/2016 08:00	14/02/2016	S2	y2016	20	08:00:00	21	0	1	2	67	0
28	ter	15/02/2016 07:00	15/02/2016	S2	y2016	55	07:00:00	18.2	0	3	1	80	0
32	ter	16/02/2016 08:00	16/02/2016	S2	y2016	49	08:00:00	19	0	3	1	71	0
35	ter	17/02/2016 08:00	17/02/2016	S2	y2016	54	08:00:00	19	0	1	4	66	135
40	ter	18/02/2016 08:00	18/02/2016	S2	y2016	38	08:00:00	21.4	0	2	8	63	45
42	ter	19/02/2016 07:00	19/02/2016	S2	y2016	10	07:00:00	20.6	0	2	5	55	180
43	ter	20/02/2016 06:00	20/02/2016	S2	y2016	7	06:00:00	20.2	0	3	4	62	135
46	ter	21/02/2016 08:00	21/02/2016	S2	y2016	54	08:00:00	19	0	2	3	73	0
49	ter	22/02/2016 07:00	22/02/2016	S2	y2016	106	07:00:00	19.9	0	3	1	75	0
50	ter	23/02/2016 07:00	23/02/2016	S2	y2016	2	07:00:00	18	0	3	1	78	45
51	ter	24/02/2016 06:00	24/02/2016	S2	y2016	14	06:00:00	18.6	0	2	2	77	0
52	ter	11/02/2016 07:00	11/02/2016	S3	y2016	4	07:00:00	17.8	0	2	1	71	0
53	ter	12/02/2016 05:00	12/02/2016	S3	y2016	7	05:00:00	17.7	0	1	4	78	90
55	ter	13/02/2016 08:00	13/02/2016	S3	y2016	14	08:00:00	19.2	0	0	6	61	180
57	ter	14/02/2016 08:00	14/02/2016	S3	y2016	25	08:00:00	21	0	1	2	67	0
58	ter	15/02/2016 07:00	15/02/2016	S3	y2016	8	07:00:00	18.2	0	3	1	80	0
60	ter	17/02/2016 07:00	17/02/2016	S3	y2016	29	07:00:00	19	0	1	4	66	135
64	ter	18/02/2016 08:00	18/02/2016	S3	y2016	18	08:00:00	21.4	0	2	8	63	45
68	ter	19/02/2016 08:00	19/02/2016	S3	y2016	22	08:00:00	20.6	0	2	5	55	180
71	ter	20/02/2016 06:00	20/02/2016	S3	y2016	10	06:00:00	20.2	0	3	4	62	135
73	ter	21/02/2016 08:00	21/02/2016	S3	y2016	28	08:00:00	19	0	2	3	73	0
76	ter	22/02/2016 08:00	22/02/2016	S3	y2016	2	08:00:00	19.9	0	3	1	75	0
77	ter	23/02/2016 07:00	23/02/2016	S3	y2016	4	07:00:00	18	0	3	1	78	45
80	ter	24/02/2016 08:00	24/02/2016	S3	y2016	19	08:00:00	18.6	0	2	2	77	0
82	ter	10/02/2016 06:00	10/02/2016	S4	y2016	24	06:00:00	17.9	0	1	4	47	0
86	ter	11/02/2016 07:00	11/02/2016	S4	y2016	46	07:00:00	17.8	0	2	1	71	0
89	ter	12/02/2016 08:00	12/02/2016	S4	y2016	28	08:00:00	17.7	0	1	4	78	90
92	ter	13/02/2016 08:00	13/02/2016	S4	y2016	35	08:00:00	19.2	0	0	6	61	180
96	ter	14/02/2016 08:00	14/02/2016	S4	y2016	20	08:00:00	21	0	1	2	67	0
99	ter	15/02/2016 07:00	15/02/2016	S4	y2016	55	07:00:00	18.2	0	3	1	80	0
103	ter	16/02/2016 08:00	16/02/2016	S4	y2016	49	08:00:00	19	0	3	1	71	0
106	ter	17/02/2016 08:00	17/02/2016	S4	y2016	54	08:00:00	19	0	1	4	66	135
111	ter	18/02/2016 08:00	18/02/2016	S4	y2016	38	08:00:00	21.4	0	2	8	63	45
113	ter	19/02/2016 07:00	19/02/2016	S4	y2016	10	07:00:00	20.6	0	2	5	55	180
114	ter	20/02/2016 06:00	20/02/2016	S4	y2016	7	06:00:00	20.2	0	3	4	62	135
117	ter	21/02/2016 08:00	21/02/2016	S4	y2016	54	08:00:00	19	0	2	3	73	0
120	ter	22/02/2016 07:00	22/02/2016	S4	y2016	106	07:00:00	19.9	0	3	1	75	0
121	ter	23/02/2016 07:00	23/02/2016	S4	y2016	2	07:00:00	18	0	3	1	78	45
124	ter	24/02/2016 08:00	24/02/2016	S4	y2016	40	08:00:00	18.6	0	2	2	77	0
127	ter	27/01/2017 08:00	27/01/2017	S1	y2017	68	08:00:00	17	0	3	1	75	0
130	ter	28/01/2017 08:00	28/01/2017	S1	y2017	410	08:00:00	17.3	0	3	1	80	0
134	ter	29/01/2017 08:00	29/01/2017	S1	y2017	291	08:00:00	20.3	0	2	5	67	135
136	ter	30/01/2017 07:00	30/01/2017	S1	y2017	41	07:00:00	19.6	0	2	4	74	135
